Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,25.68306,24.87047,23.07692,34.69388,35.20408,42.36453,31.37255,35.60976,42.23301,44.17476,47.84689,44.49761,47.8673,46.4455,45.49763,50,53.84615,52.88462,55.76923,57.69231
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,19.35484,14.43299,23.85787,23.73737,24.24242,27.31707,22.92683,22.92683,28.64078,33.49514,35.4067,36.19048,26.54029,27.48815,27.01422,34.61538,38.46154,40.86538,42.30769,35.09615
Algeria,DZA,Voice and Accountability: Percentile Rank,VA.PER.RNK,14.5,12.43781,14.42786,18.90547,18.90547,23.55769,25.48077,22.59615,20.19231,20.67308,17.53555,18.48341,20.18779,22.53521,23.94366,25.12315,24.63054,23.64532,23.15271,21.67488
Algeria,DZA,Rule of Law: Percentile Rank,RL.PER.RNK,12.56281,12.5,11.88119,33.16832,31.68317,33.49282,28.22967,27.7512,24.88038,25.48077,23.22275,26.54029,24.41315,26.76056,30.98592,24.03846,19.23077,18.75,19.23077,22.11539
Algeria,DZA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,20.1087,22.79793,23.07692,29.59184,32.14286,30.04926,42.64706,29.41176,27.18447,21.35922,12.91866,9.569378,9.952606,9.00474,11.84834,8.173077,10.57692,10.09615,10.57692,8.173077
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,5.319149,4.787234,10.05291,6.878307,5.527638,10.67961,20.38835,15.45894,14.00966,14.90385,13.27014,11.84834,10.42654,9.478673,12.79621,9.523809,11.90476,12.38095,16.19048,18.57143
Algeria,DZA,Government Effectiveness: Percentile Rank,GE.PER.RNK,13.11475,19.68912,14.87179,31.12245,31.12245,34.48276,39.21569,38.04878,32.52427,31.06796,35.4067,38.75598,36.01896,35.07109,35.07109,35.09615,35.57692,35.57692,30.76923,37.01923
Algeria,DZA,Control of Corruption: Percentile Rank,CC.PER.RNK,33.33333,22.16495,18.78173,23.23232,28.78788,27.80488,40,36.58537,34.46602,33.00971,33.49282,36.66667,35.07109,37.44076,39.33649,32.21154,29.80769,27.88461,30.28846,28.36539
American Samoa,ASM,Voice and Accountability: Percentile Rank,VA.PER.RNK,..,..,..,..,..,64.42308,70.67308,65.38461,78.36539,79.32692,77.25118,78.19905,78.87324,80.75117,81.22066,..,..,..,..,..
American Samoa,ASM,Rule of Law: Percentile Rank,RL.PER.RNK,..,..,..,..,..,75.59808,85.64594,85.64594,85.16747,85.09615,85.30806,84.83412,84.97652,85.44601,85.44601,87.5,87.98077,87.98077,88.46154,87.98077
American Samoa,ASM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,..,..,..,..,..,66.50246,62.2549,61.76471,63.1068,63.59223,64.11483,64.11483,62.55924,62.08531,63.50711,57.69231,58.65385,58.65385,42.78846,40.86538
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,..,..,..,..,..,72.33009,68.4466,68.11594,80.19324,80.76923,82.46445,80.09479,74.40759,78.67299,76.77725,89.04762,91.90476,92.38095,92.85714,92.38095
American Samoa,ASM,Government Effectiveness: Percentile Rank,GE.PER.RNK,..,..,..,..,..,53.69458,62.2549,62.92683,70.38835,68.93204,69.37799,68.89952,67.77251,68.24644,69.19431,70.19231,70.19231,71.63461,71.15385,72.59615
American Samoa,ASM,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,77.56097,77.56097,65.36585,66.50485,66.01942,68.42105,67.14286,66.82465,65.87678,65.40285,87.01923,87.01923,87.5,93.75,94.23077
Andorra,AND,Voice and Accountability: Percentile Rank,VA.PER.RNK,98.5,97.51244,97.01492,95.52238,94.02985,94.71154,94.71154,92.30769,92.30769,93.26923,92.41706,92.891,93.89671,93.89671,93.89671,87.68473,88.17734,87.19212,86.20689,83.25123
Andorra,AND,Rule of Law: Percentile Rank,RL.PER.RNK,86.43216,85,86.63367,86.13861,84.15842,87.08134,81.81818,75.59808,87.08134,86.53846,87.20379,86.72986,89.20188,89.20188,88.73239,90.38461,89.90385,90.86539,90.38461,90.86539
Andorra,AND,Regulatory Quality: Percentile Rank,RQ.PER.RNK,88.04348,89.63731,88.20513,91.32653,90.30612,89.16256,90.68627,91.17647,90.7767,90.7767,91.38756,89.95216,94.3128,93.83886,92.891,77.88461,78.36539,78.36539,85.57692,85.09615
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,89.3617,90.42553,86.77248,92.59259,98.49246,98.05825,99.02913,98.55073,98.55073,98.07692,94.3128,93.83886,95.7346,94.78673,93.83886,96.66666,97.61905,97.14286,97.14286,97.61905
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,88.52459,88.60104,88.71795,88.77551,88.77551,90.14778,88.23529,89.7561,90.29126,90.7767,91.86603,89.95216,90.52132,91.46919,91.94313,94.23077,95.67308,98.07692,98.55769,98.55769
Andorra,AND,Control of Corruption: Percentile Rank,CC.PER.RNK,87.09677,89.17525,88.83249,88.38383,88.88889,84.39024,88.29269,88.29269,88.83495,87.86407,88.03828,88.09524,88.15166,87.20379,86.72986,87.01923,87.01923,87.5,86.53846,86.53846
Angola,AGO,Voice and Accountability: Percentile Rank,VA.PER.RNK,6,9.452736,8.955224,12.93532,10.94527,11.53846,12.01923,11.53846,14.42308,15.86539,14.69194,14.69194,14.55399,15.96244,15.96244,15.27094,15.27094,16.74877,17.73399,22.6601
Angola,AGO,Rule of Law: Percentile Rank,RL.PER.RNK,3.517588,2.5,1.980198,2.970297,4.455446,5.741627,7.177033,9.090909,6.220096,7.211538,10.42654,9.00474,9.859155,8.450705,8.920188,11.05769,12.5,12.5,11.53846,13.94231
Angola,AGO,Regulatory Quality: Percentile Rank,RQ.PER.RNK,7.608696,5.699482,4.102564,6.632653,11.22449,9.852217,10.29412,13.23529,16.50485,16.01942,15.311,16.26794,12.32228,18.48341,15.63981,16.82692,17.78846,13.46154,12.5,12.98077
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,3.723404,1.06383,1.587302,9.523809,19.59799,16.50485,21.35922,27.53623,24.15459,31.25,32.70142,37.91469,34.59716,35.07109,35.07109,32.85714,28.09524,33.33333,32.85714,34.76191
Angola,AGO,Government Effectiveness: Percentile Rank,GE.PER.RNK,21.31148,5.699482,3.589744,8.163265,9.183674,6.403941,12.2549,5.853659,10.67961,13.59223,17.22488,11.00478,11.37441,17.06161,10.90047,13.46154,15.38461,13.46154,14.90385,13.94231
Angola,AGO,Control of Corruption: Percentile Rank,CC.PER.RNK,9.67742,1.546392,1.522843,6.565657,5.555555,7.804878,7.317073,7.804878,5.825243,4.854369,2.392344,3.809524,4.265403,7.109005,6.161138,3.846154,3.846154,5.769231,6.25,11.53846
Anguilla,AIA,Voice and Accountability: Percentile Rank,VA.PER.RNK,..,..,..,..,..,76.44231,75.48077,80.28846,78.36539,79.32692,77.25118,78.19905,78.87324,80.75117,81.22066,..,..,..,..,..
Anguilla,AIA,Rule of Law: Percentile Rank,RL.PER.RNK,..,..,..,..,..,86.1244,93.30144,92.3445,92.82297,92.78846,89.09953,88.6256,88.26291,88.26291,88.26291,59.13462,56.73077,51.92308,51.44231,51.44231
Anguilla,AIA,Regulatory Quality: Percentile Rank,RQ.PER.RNK,..,..,..,..,..,78.32513,82.84314,91.17647,90.7767,90.7767,91.38756,89.95216,90.04739,88.6256,89.09953,77.88461,78.36539,78.36539,77.88461,77.40385
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,..,..,..,..,..,74.27184,90.29126,89.37198,89.37198,89.42308,78.67299,95.7346,99.52607,99.52607,99.52607,91.90476,94.7619,95.2381,96.66666,94.28571
Anguilla,AIA,Government Effectiveness: Percentile Rank,GE.PER.RNK,..,..,..,..,..,81.7734,91.17647,89.7561,90.29126,90.7767,91.86603,89.95216,90.52132,91.46919,91.94313,77.88461,79.32692,87.98077,76.44231,76.44231
Anguilla,AIA,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,79.02439,88.29269,88.29269,88.83495,87.86407,88.03828,88.09524,88.15166,87.20379,86.72986,87.01923,87.01923,87.5,86.53846,86.53846
Antigua and Barbuda,ATG,Voice and Accountability: Percentile Rank,VA.PER.RNK,61.5,59.20398,60.19901,58.20895,58.20895,66.82692,64.90385,67.78846,64.42308,64.42308,66.82465,62.08531,62.9108,67.13615,66.66666,66.99507,68.47291,67.98029,68.47291,69.45813
Antigua and Barbuda,ATG,Rule of Law: Percentile Rank,RL.PER.RNK,82.91457,84,84.15842,83.16832,83.16832,78.94736,70.33493,78.94736,80.38277,81.73077,81.51659,80.56872,79.81221,79.34272,74.64789,49.51923,70.67308,70.19231,66.82692,65.38461
Antigua and Barbuda,ATG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,73.91304,76.1658,78.97436,72.44898,72.44898,68.96552,67.15686,66.17647,68.4466,70.87379,72.2488,73.68421,72.98578,72.03792,71.09005,70.19231,65.86539,65.38461,63.94231,66.82692
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,70.74468,72.34042,72.48677,73.01588,74.87437,84.46602,73.30097,71.98067,75.84541,75,71.56398,79.14692,79.62085,80.56872,79.62085,81.42857,86.19048,75.71429,71.42857,70.47619
Antigua and Barbuda,ATG,Government Effectiveness: Percentile Rank,GE.PER.RNK,74.86339,76.68394,75.89744,74.4898,72.95918,71.42857,66.66666,67.31707,66.50485,68.93204,69.37799,68.89952,67.77251,68.24644,69.19431,51.92308,62.5,64.42308,53.84615,52.88462
Antigua and Barbuda,ATG,Control of Corruption: Percentile Rank,CC.PER.RNK,80.10753,81.95876,82.23351,80.80808,80.30303,79.51219,74.63415,84.39024,84.95145,87.86407,88.03828,88.09524,88.15166,87.20379,86.72986,74.03846,75.48077,74.51923,62.98077,63.46154
Argentina,ARG,Voice and Accountability: Percentile Rank,VA.PER.RNK,62.5,57.71144,61.19403,56.21891,61.19403,59.61538,59.13462,58.17308,58.65385,58.17308,56.39811,58.29384,58.21596,57.277,56.80751,59.1133,60.09852,63.5468,65.51724,66.99507
Argentina,ARG,Rule of Law: Percentile Rank,RL.PER.RNK,54.27136,52,48.0198,27.72277,26.23762,23.92344,34.92823,34.44976,34.44976,27.88461,30.80569,33.17535,33.33333,30.98592,29.57747,18.75,24.03846,37.5,46.15385,45.67308
Argentina,ARG,Regulatory Quality: Percentile Rank,RQ.PER.RNK,66.84782,69.43005,63.58974,19.38775,24.4898,23.64532,31.86275,26.47059,25.72816,23.30097,22.48804,23.92344,25.59242,20.85308,18.00948,12.5,17.30769,33.65385,41.34615,42.30769
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,51.06383,39.3617,50.79365,22.22222,35.17588,26.21359,44.17476,45.89372,46.85991,40.86538,36.96682,42.65403,52.1327,49.2891,48.34123,45.71429,46.19048,52.85714,53.33333,46.66667
Argentina,ARG,Government Effectiveness: Percentile Rank,GE.PER.RNK,60.10929,67.87565,57.4359,47.44898,58.16327,55.17241,50.98039,55.12195,53.39806,50.48544,45.93301,49.2823,49.76303,46.91943,45.97157,46.63462,50,60.09615,58.65385,54.80769
Argentina,ARG,Control of Corruption: Percentile Rank,CC.PER.RNK,53.76344,52.06186,50.25381,39.39394,38.38384,40,43.41463,42.92683,45.14563,39.32039,39.71292,43.33333,44.07583,39.33649,40.28436,35.09615,33.65385,47.11538,47.59615,54.32692
Armenia,ARM,Voice and Accountability: Percentile Rank,VA.PER.RNK,33,40.79602,36.31841,36.81592,34.82587,30.28846,29.80769,26.44231,25.96154,24.51923,23.69668,25.11848,28.16901,30.04695,29.10798,30.54187,29.55665,31.03448,32.0197,40.39409
Armenia,ARM,Rule of Law: Percentile Rank,RL.PER.RNK,37.68844,39,36.63366,39.60396,44.55445,39.23445,40.19139,35.4067,37.32058,44.71154,39.81042,37.44076,42.25352,42.723,44.60094,41.34615,41.34615,50.48077,49.51923,48.55769
Armenia,ARM,Regulatory Quality: Percentile Rank,RQ.PER.RNK,44.02174,50.7772,47.17949,57.14286,59.69388,58.12808,55.88235,58.82353,59.2233,62.13592,60.76555,60.28708,57.8199,61.13744,59.24171,59.61538,61.05769,62.98077,64.42308,62.5
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,34.04255,25,25.92593,37.56614,51.75879,40.7767,42.71844,37.68116,47.82609,44.23077,52.60664,49.76303,44.07583,51.18483,50.23697,35.71429,37.14286,22.38095,25.23809,30.47619
Armenia,ARM,Government Effectiveness: Percentile Rank,GE.PER.RNK,41.53006,36.26943,34.8718,54.08163,51.53061,54.18719,50,46.34146,44.17476,49.02913,54.54546,48.80383,49.2891,54.02843,57.34597,45.67308,48.55769,49.03846,49.51923,51.44231
Armenia,ARM,Control of Corruption: Percentile Rank,CC.PER.RNK,38.17204,22.68041,27.41117,27.77778,34.84848,30.2439,29.26829,29.7561,25.72816,27.6699,29.66507,26.66667,28.90995,33.64929,36.01896,36.05769,35.09615,32.69231,32.69231,42.78846
Aruba,ABW,Voice and Accountability: Percentile Rank,VA.PER.RNK,..,..,..,..,..,73.07692,85.57692,80.28846,78.36539,79.32692,91.46919,90.99526,90.61033,90.61033,90.61033,92.11823,91.62562,92.11823,92.61084,91.62562
Aruba,ABW,Rule of Law: Percentile Rank,RL.PER.RNK,..,..,..,..,..,80.86124,78.4689,73.20574,77.03349,77.88461,89.57346,90.04739,87.79343,86.85446,86.85446,81.73077,85.57692,87.01923,87.01923,87.01923
Aruba,ABW,Regulatory Quality: Percentile Rank,RQ.PER.RNK,..,..,..,..,..,73.89162,75,75.4902,77.18446,78.64078,86.60287,87.08134,87.67773,90.52132,90.52132,88.46154,90.38461,88.94231,84.13461,77.88461
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,..,..,..,..,..,80.58253,96.11651,96.13527,96.61835,96.15385,88.6256,88.15166,93.83886,93.36493,94.78673,92.38095,93.33334,94.28571,95.71429,95.71429
Aruba,ABW,Government Effectiveness: Percentile Rank,GE.PER.RNK,..,..,..,..,..,88.17734,88.23529,87.80488,86.8932,86.40777,89.95216,85.64594,84.83412,85.78199,84.83412,75.48077,76.44231,76.44231,79.32692,80.28846
Aruba,ABW,Control of Corruption: Percentile Rank,CC.PER.RNK,..,..,..,..,..,85.36585,88.29269,88.29269,88.83495,87.86407,84.21053,84.28571,83.41232,82.93839,82.93839,81.73077,88.46154,89.42308,87.98077,87.01923
Australia,AUS,Voice and Accountability: Percentile Rank,VA.PER.RNK,93,93.03483,94.02985,93.53234,94.52737,94.23077,94.23077,94.71154,94.23077,94.71154,94.3128,94.78673,95.77465,95.77465,94.3662,93.59606,93.10345,94.08867,94.58128,95.56651
Australia,AUS,Rule of Law: Percentile Rank,RL.PER.RNK,96.48241,96.5,95.04951,95.54456,96.0396,95.69378,95.21531,94.25837,94.25837,95.19231,94.78673,95.26067,95.77465,95.77465,95.77465,96.15385,94.71154,94.71154,93.26923,92.78846
Australia,AUS,Regulatory Quality: Percentile Rank,RQ.PER.RNK,90.21739,92.74612,94.35897,89.79592,93.36735,96.05911,94.11765,95.09804,95.63107,96.60194,99.04306,96.65072,98.10426,97.15639,97.15639,98.07692,96.15385,97.59615,98.07692,98.07692
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,96.2766,82.97872,93.1217,89.41799,75.87939,78.64078,76.21359,78.74397,78.74397,80.28846,76.77725,78.19905,74.88152,82.46445,83.41232,85.2381,75.71429,89.04762,79.52381,82.85714
Australia,AUS,Government Effectiveness: Percentile Rank,GE.PER.RNK,95.62842,90.15544,92.82051,91.32653,93.87755,96.55173,94.60784,93.65854,96.11651,95.63107,94.25837,95.21531,94.78673,94.3128,94.78673,92.30769,92.30769,92.30769,92.30769,92.78846
Australia,AUS,Control of Corruption: Percentile Rank,CC.PER.RNK,93.54839,92.78351,93.90863,92.42424,93.93939,96.58537,95.60976,95.12195,95.63107,96.11651,96.17225,95.2381,96.20853,95.7346,93.83886,95.19231,94.23077,93.26923,92.78846,92.78846
Austria,AUT,Voice and Accountability: Percentile Rank,VA.PER.RNK,93.5,92.0398,90.04975,91.54229,91.54229,92.78846,90.38461,93.75,94.71154,94.23077,94.78673,95.26067,94.83568,95.30516,95.77465,94.58128,94.08867,93.59606,93.59606,93.10345
Austria,AUT,Rule of Law: Percentile Rank,RL.PER.RNK,97.48743,97.5,98.0198,97.52475,96.53465,96.17225,97.60766,98.56459,99.52153,98.55769,96.20853,96.20853,96.71362,97.1831,97.65258,96.63461,96.15385,95.67308,96.15385,97.59615
Austria,AUT,Regulatory Quality: Percentile Rank,RQ.PER.RNK,96.19566,91.70985,93.33334,93.36735,92.34694,91.62562,95.09804,96.07843,96.11651,94.17476,91.86603,92.3445,90.52132,91.46919,91.46919,91.34615,91.34615,91.34615,90.86539,91.34615
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,96.80851,88.29787,76.19048,94.70899,80.40201,84.95145,86.40777,86.47343,96.13527,98.55769,90.99526,89.09953,91.46919,96.20853,96.20853,95.2381,90.47619,77.14286,86.66666,80.95238
Austria,AUT,Government Effectiveness: Percentile Rank,GE.PER.RNK,92.89617,93.26425,94.8718,95.40816,97.44898,93.10345,92.64706,96.09756,96.60194,94.66019,93.77991,97.12919,93.36493,92.891,92.891,91.34615,90.38461,91.82692,91.82692,90.86539
Austria,AUT,Control of Corruption: Percentile Rank,CC.PER.RNK,92.47312,93.29897,92.8934,93.93939,94.94949,97.07317,95.12195,94.63415,96.11651,93.68932,92.82297,91.90476,89.57346,89.09953,90.99526,90.38461,90.86539,91.34615,90.86539,91.34615
Azerbaijan,AZE,Voice and Accountability: Percentile Rank,VA.PER.RNK,15.5,17.91045,21.89055,20.39801,20.39801,18.75,15.38461,10.57692,12.01923,11.05769,13.27014,12.79621,12.67606,12.20657,9.389671,7.389163,6.896552,6.403941,6.896552,7.881773
Azerbaijan,AZE,Rule of Law: Percentile Rank,RL.PER.RNK,13.06533,14,13.36634,20.29703,22.77228,20.09569,26.31579,21.5311,21.5311,21.63461,20.85308,20.85308,20.18779,23.47418,28.16901,28.84615,30.28846,32.21154,32.21154,29.32692
Azerbaijan,AZE,Regulatory Quality: Percentile Rank,RQ.PER.RNK,11.41304,15.02591,14.87179,23.46939,29.08163,28.07882,29.90196,31.37255,33.49514,41.26213,43.0622,39.23445,37.91469,35.54502,36.49289,44.23077,46.15385,43.75,43.26923,37.01923
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,21.2766,22.87234,20.10582,16.40212,21.10553,16.99029,16.99029,16.42512,25.60386,32.69231,35.54502,36.49289,29.85782,23.22275,33.64929,26.19048,21.90476,18.57143,19.04762,20.95238
Azerbaijan,AZE,Government Effectiveness: Percentile Rank,GE.PER.RNK,18.57924,14.50777,12.82051,14.79592,21.93878,23.64532,26.96078,30.2439,23.30097,22.81553,30.62201,22.96651,24.17062,25.11848,37.91469,41.82692,44.71154,48.07692,47.59615,49.03846
Azerbaijan,AZE,Control of Corruption: Percentile Rank,CC.PER.RNK,2.688172,4.123711,4.568528,7.070707,12.62626,10.73171,15.12195,12.68293,10.67961,11.16505,9.569378,6.666667,9.478673,11.84834,16.58768,14.42308,16.82692,19.23077,17.78846,21.63461
"Bahamas, The",BHS,Voice and Accountability: Percentile Rank,VA.PER.RNK,83.5,85.07462,87.06467,87.56219,80.0995,81.25,77.88461,80.76923,84.61539,86.05769,78.19905,76.77725,75.58685,75.58685,74.64789,80.29556,75.86207,74.87685,74.87685,73.39902
"Bahamas, The",BHS,Rule of Law: Percentile Rank,RL.PER.RNK,85.92965,89,87.62376,90.09901,90.09901,90.43062,89.95216,86.1244,87.55981,86.05769,72.98578,70.14218,68.07512,68.5446,69.95305,75.48077,72.59615,60.57692,60.09615,57.21154
"Bahamas, The",BHS,Regulatory Quality: Percentile Rank,RQ.PER.RNK,78.26087,83.93782,86.15385,87.7551,83.67347,81.28078,79.90196,80.88235,82.03883,81.5534,74.16268,69.37799,69.66824,63.98104,57.34597,56.73077,57.69231,63.46154,58.65385,61.05769
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,85.6383,85.10638,91.00529,82.53968,72.36181,77.18446,78.15534,72.46377,71.0145,72.59615,77.72512,83.88625,88.15166,90.52132,90.52132,79.04762,77.14286,80.95238,82.85714,78.57143
"Bahamas, The",BHS,Government Effectiveness: Percentile Rank,GE.PER.RNK,87.43169,87.56477,87.17949,86.7347,86.7347,86.69951,84.80392,84.39024,83.00971,83.49515,79.9043,81.81818,78.67299,79.14692,75.35545,74.03846,73.55769,74.03846,72.59615,71.63461
"Bahamas, The",BHS,Control of Corruption: Percentile Rank,CC.PER.RNK,83.87096,86.08247,86.80203,89.89899,90.40404,91.70731,89.2683,90.2439,89.32039,89.32039,88.51675,88.57143,89.09953,87.67773,88.6256,88.46154,83.17308,81.73077,83.65385,83.17308
Bahrain,BHR,Voice and Accountability: Percentile Rank,VA.PER.RNK,25.5,16.41791,17.41294,31.34328,30.34826,31.25,25,23.55769,25,23.07692,26.54029,19.90521,13.14554,11.26761,12.20657,11.33005,11.82266,11.33005,11.33005,10.83744
Bahrain,BHR,Rule of Law: Percentile Rank,RL.PER.RNK,50.75377,65,61.88119,68.31683,71.28713,71.29186,67.46411,61.72249,66.50718,65.86539,64.45498,63.50711,62.44131,61.50235,61.97183,68.26923,67.30769,67.30769,67.30769,66.34615
Bahrain,BHR,Regulatory Quality: Percentile Rank,RQ.PER.RNK,74.45652,75.64767,78.46154,77.04082,70.40816,72.9064,70.09804,71.07843,73.30097,73.30097,73.68421,74.64115,75.82938,73.93365,71.56398,74.03846,76.44231,72.11539,66.82692,67.78846
Bahrain,BHR,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,36.70213,37.76596,48.14815,53.96825,62.31156,55.82524,46.60194,32.36715,36.71498,36.53846,40.75829,28.90995,18.95735,15.63981,9.00474,15.71429,12.38095,19.52381,14.28571,17.14286
Bahrain,BHR,Government Effectiveness: Percentile Rank,GE.PER.RNK,77.04918,74.09326,72.82051,70.91837,68.87755,70.93596,65.68627,66.82927,66.99029,66.50485,67.94258,67.94258,68.72038,69.66824,70.14218,72.59615,73.07692,65.86539,61.05769,59.61538
Bahrain,BHR,Control of Corruption: Percentile Rank,CC.PER.RNK,63.97849,63.91753,68.0203,79.29293,70.70707,70.2439,66.34146,61.46341,60.67961,62.13592,63.63636,63.33333,63.98104,67.77251,68.72038,63.94231,61.05769,57.69231,51.92308,51.44231
Bangladesh,BGD,Voice and Accountability: Percentile Rank,VA.PER.RNK,50,47.26368,44.77612,37.31343,31.8408,27.88461,30.28846,32.21154,31.25,33.17308,38.38863,36.96682,36.15023,34.74178,34.74178,32.0197,30.54187,30.54187,30.04926,27.58621
Bangladesh,BGD,Rule of Law: Percentile Rank,RL.PER.RNK,20.1005,21,22.27723,21.28713,15.84158,15.78947,17.70335,20.57416,22.96651,25,24.17062,25.59242,27.69953,18.30986,21.12676,23.55769,25.96154,27.88461,28.36539,28.36539
Bangladesh,BGD,Regulatory Quality: Percentile Rank,RQ.PER.RNK,17.93478,19.68912,18.46154,17.85714,18.36735,12.31527,15.68627,16.66667,17.47573,17.47573,21.5311,22.00957,22.74882,18.95735,21.32701,17.78846,18.26923,22.11539,20.67308,19.23077
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,26.59575,33.51064,24.86773,19.04762,16.58291,10.19417,4.368932,8.695652,9.178744,9.615385,9.00474,9.952606,9.00474,9.00474,7.582938,16.66667,10,10.95238,10.47619,13.80952
Bangladesh,BGD,Government Effectiveness: Percentile Rank,GE.PER.RNK,27.3224,38.8601,30.76923,28.06122,24.4898,20.19704,19.11765,22.92683,27.6699,25.24272,24.40191,26.31579,24.64455,24.17062,23.69668,22.59615,24.03846,25.48077,22.11539,21.63461
